state,year,quater,total_amount,query,transacion_type,yearly_amount
himachal-pradesh,2018,4.0,2621298968.1392493,Query 1,,
himachal-pradesh,2019,1.0,3381481442.991052,Query 1,,
himachal-pradesh,2019,2.0,4875883973.610599,Query 1,,
himachal-pradesh,2019,3.0,5572018781.123336,Query 1,,
himachal-pradesh,2019,4.0,7271163537.248181,Query 1,,
himachal-pradesh,2020,1.0,7419466751.122687,Query 1,,
himachal-pradesh,2020,2.0,8036904762.543936,Query 1,,
himachal-pradesh,2020,3.0,10516054014.086983,Query 1,,
himachal-pradesh,2020,4.0,13989053108.812904,Query 1,,
himachal-pradesh,2021,1.0,14120546909.487526,Query 1,,
himachal-pradesh,2021,2.0,16495634539.809227,Query 1,,
himachal-pradesh,2021,3.0,21310262071.128036,Query 1,,
himachal-pradesh,2021,4.0,26136220500.62582,Query 1,,
himachal-pradesh,2022,1.0,26518447439.93281,Query 1,,
himachal-pradesh,2022,2.0,33709107958.24229,Query 1,,
himachal-pradesh,2022,3.0,37380782688.54041,Query 1,,
himachal-pradesh,2022,4.0,41779343232.37368,Query 1,,
himachal-pradesh,2023,1.0,37740947734.0,Query 1,,
himachal-pradesh,2023,2.0,46875063718.0,Query 1,,
himachal-pradesh,2023,3.0,41854571637.0,Query 1,,
himachal-pradesh,2023,4.0,48280246564.0,Query 1,,
himachal-pradesh,2024,1.0,47884231339.0,Query 1,,
himachal-pradesh,2024,2.0,59849740702.0,Query 1,,
himachal-pradesh,2024,3.0,56615941598.0,Query 1,,
himachal-pradesh,2024,4.0,63736996234.0,Query 1,,
jammu-&-kashmir,2018,1.0,1005371239.256127,Query 1,,
jammu-&-kashmir,2018,2.0,2651206236.5028744,Query 1,,
jammu-&-kashmir,2018,3.0,3934700999.45767,Query 1,,
jammu-&-kashmir,2018,4.0,5664720265.697518,Query 1,,
jammu-&-kashmir,2019,1.0,5951835476.521015,Query 1,,
jammu-&-kashmir,2019,2.0,6100142201.563506,Query 1,,
jammu-&-kashmir,2019,3.0,3744230491.7824683,Query 1,,
jammu-&-kashmir,2019,4.0,1929695997.8225973,Query 1,,
